food_id,name_en,vernacular_names,category,calories(kcal),protein(g),carbs(g),fats(g),fiber(g),vitamins,minerals,ayurveda_dosha_vata,ayurveda_dosha_pitta,ayurveda_dosha_kapha,ayurveda_rasa,ayurveda_guna,ayurveda_virya,ayurveda_vipaka,health_tags,medical_usage,contraindications,drug_interactions,therapeutic_dosage,preparation_methods,restrictions,growing_regions,storage_shelf_life,,
FW011,Fish (Catla) (123),"Catla (कतला), Bokka (బొక్క)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW012,Prawns (124),"Jhinga (झींगा), Royyalu (రొయ్యలు)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW013,Sattu Drink,Sattu Drink,Beverages,45,0.5,11,0.1,0.2,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Neutral,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW014,Sugarcane Juice,Sugarcane Juice,Beverages,45,0.5,11,0.1,0.2,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Neutral,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW015,Nimbu Pani,Nimbu Pani,Beverages,45,0.5,11,0.1,0.2,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Neutral,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW016,Jaljeera,Jaljeera,Beverages,45,0.5,11,0.1,0.2,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Neutral,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW017,Solkadhi,Solkadhi,Beverages,45,0.5,11,0.1,0.2,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Neutral,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW018,Butter (White) (118),"Makhan (मक्खन), Venna (వెన్న)",Dairy,60,3.4,5,3.5,0,"Calcium, Vitamin D (if fortified), Vitamin B12, Protein","Calcium, Phosphorus",Decrease,Decrease,Increase,Madhura,"Snigdha, Mridu",Sheeta,Madhura,"calcium, probiotic","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Boil, ferment, clarify",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Chilled: 2–7 days,,
FW019,Cow Milk,Cow Milk,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW020,Buffalo Milk,Buffalo Milk,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW021,Curd,Curd,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW022,Buttermilk,Buttermilk,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW023,Paneer,Paneer,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW024,Ghee,Ghee,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW025,Khoa,Khoa,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW026,Probiotic Dahi,Probiotic Dahi,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW027,Lassi Sweet,Lassi Sweet,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW028,Lassi Salted,Lassi Salted,Dairy,90,3.5,5,5,0,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Neutral,Neutral,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW029,Idli Batter,Idli Batter,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW030,Dosa Batter,Dosa Batter,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW031,Kanji,Kanji,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW032,Ambli,Ambli,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW033,Sel Roti Batter,Sel Roti Batter,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW034,Gongura Pickle,Gongura Pickle,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW035,Kombucha Kanji,Kombucha Kanji,Fermented,120,4,22,1,1.5,"A, C, K, Folate, B-complex vitamins, E","Iron, Calcium, Potassium, Magnesium, Phosphorus, Zinc",Increase,Increase,Increase,"Sweet, Bitter, Astringent","Light, Cold, Dry",Cooling,Sweet,"Nutritional support, Antioxidant protection, Digestive health, Immune support","General wellness support, traditional dietary use in India",Individual sensitivities; consult healthcare provider for specific conditions,Consult healthcare provider for potential interactions,Culinary use as per recipe; therapeutic use as advised,"Fresh consumption, traditional cooking, steaming, sautéing",Allergies or medical contraindications,Across Indian states,Fresh: 2-10 days refrigerated; Dried: 6-12 months,,
FW036,Mango,"Aam (आम), Mamidi (మామిడి)",Fruits,60,0.8,15,0.2,2.5,"Vitamin C, Vitamin A, Potassium","Potassium, Dietary fiber, Trace minerals",Decrease,Decrease,Increase,Madhura,"Guru, Snigdha",Sheeta,Madhura,"antioxidant, hydrating","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Fresh, juices, salads",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Fresh: 2–7 days refrigerated,,
FW037,Banana,"Kela (केला), Arati (అరటి)",Fruits,60,0.8,15,0.2,2.5,"Vitamin C, Vitamin A, Potassium","Potassium, Dietary fiber, Trace minerals",Decrease,Decrease,Increase,Madhura,"Guru, Snigdha",Sheeta,Madhura,"antioxidant, hydrating","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Fresh, juices, salads",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Fresh: 2–7 days refrigerated,,
FW038,Guava,"Amrud (अमरूद), Jama (జామపండు)",Fruits,60,0.8,15,0.2,2.5,"Vitamin C, Vitamin A, Potassium","Potassium, Dietary fiber, Trace minerals",Decrease,Decrease,Increase,Madhura,"Guru, Snigdha",Sheeta,Madhura,"antioxidant, hydrating","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Fresh, juices, salads",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Fresh: 2–7 days refrigerated,,
FW039,Papaya,"Papita (पपीता), Boppayi (బొప్పాయి)",Fruits,60,0.8,15,0.2,2.5,"Vitamin C, Vitamin A, Potassium","Potassium, Dietary fiber, Trace minerals",Decrease,Decrease,Increase,Madhura,"Guru, Snigdha",Sheeta,Madhura,"antioxidant, hydrating","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Fresh, juices, salads",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Fresh: 2–7 days refrigerated,,
FW040,Apple,"Seb (सेब), Apple (ఆపిల్)",Fruits,60,0.8,15,0.2,2.5,"Vitamin C, Vitamin A, Potassium","Potassium, Dietary fiber, Trace minerals",Decrease,Decrease,Increase,Madhura,"Guru, Snigdha",Sheeta,Madhura,"antioxidant, hydrating","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Fresh, juices, salads",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Fresh: 2–7 days refrigerated,,
FW041,Pear,"Nashpati (नाशपाती), Berikaya (బేరి)",Fruits,60,0.8,15,0.2,2.5,"Vitamin C, Vitamin A, Potassium","Potassium, Dietary fiber, Trace minerals",Decrease,Decrease,Increase,Madhura,"Guru, Snigdha",Sheeta,Madhura,"antioxidant, hydrating","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Fresh, juices, salads",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,Fresh: 2–7 days refrigerated,,
